ts,flow_duration,Header_Length,Source IP,Destination IP,Source Port,Destination Port,Protocol Type,Protocol_name,Duration,Rate,Srate,Drate,fin_flag_number,syn_flag_number,rst_flag_number,psh_flag_number,ack_flag_number,urg_flag_number,ece_flag_number,cwr_flag_number,ack_count,syn_count,fin_count,urg_count,rst_count,max_duration,min_duration,sum_duration,average_duration,std_duration,CoAP,HTTP,HTTPS,DNS,Telnet,SMTP,SSH,IRC,TCP,UDP,DHCP,ARP,ICMP,IGMP,IPv,LLC,Tot sum,Min,Max,AVG,Std,Tot size,IAT,Number,MAC,Magnitue,Radius,Covariance,Variance,Weight,DS status,Fragments,Sequence number,Protocol Version,flow_idle_time,flow_active_time
1701727700.292671,0.8760979175567627,440932,93.93.128.193,172.16.67.128,80,48884,6,TCP,127,525.0554655840698,525.0554655840698,0.0,0,0,0,1,1,0,0,0,0,0,0,167,460,1701727700.292671,1701727699.416573,782794741932.9689,1701727699.8542802,0.2540047142026374,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1514,1514,1514,1514.0,0.0,1514,0.0019810199737548,1,808448,55.02726596879042,0.0,0.0,0.0,1,0,0,0,0,0.0019810199737548,0.8760979175567627
1701727700.293179,0.8766059875488281,440986,172.16.67.128,93.93.128.193,48884,80,6,TCP,64,525.8919132973886,525.8919132973886,0.0,0,0,0,0,1,0,0,0,0,0,0,167,461,1701727700.293179,1701727699.416573,784496469633.2621,1701727699.8552322,0.2545493851506619,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1568,54,1514,784.0,730.0,54,0.0005080699920654,2,808448,39.59797974644666,1032.3759005323593,532900.0,1.0,4,0,0,0,0,0.0005080699920654,0.8766059875488281
1701524591.717234,0.0345709323883056,5245,172.16.63.128,172.16.65.128,54416,8888,6,TCP,64,549.5946648643802,549.5946648643802,0.0,0,0,0,1,1,0,0,0,0,4,0,7,17,1701524591.717234,1701524591.682663,32328967242.22147,1701524591.6958668,0.0087721661059924,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,2927,66,734,266.09090909090907,271.58573216823333,625,0.009354829788208,11,808448,23.06906626159408,384.0802257793426,73758.8099173554,1.0,121,0,0,0,0,0.009354829788208,0.0345709323883056
1701524591.72024,0.0375771522521972,5870,172.16.63.128,172.16.65.128,54416,8888,6,TCP,64,532.2383097519192,532.2383097519192,0.0,0,0,0,1,1,0,0,0,0,4,0,8,18,1701524591.72024,1701524591.682663,34030491833.94171,1701524591.6970856,0.0100658762504991,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,3552,66,734,296.0,278.30259311284425,625,0.0030062198638916,12,808448,24.33105012119288,393.5793016237854,77452.33333333333,1.0,144,0,0,0,0,0.0030062198638916,0.0375771522521972
1701727700.297465,0.8808920383453369,443846,93.93.128.193,172.16.67.128,80,48884,6,TCP,127,525.6035698423349,525.6035698423349,0.0,0,0,0,0,1,0,0,0,0,0,0,168,463,1701727700.297465,1701727699.416573,787899925033.8551,1701727699.8571384,0.2556420842586603,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,4428,54,1514,1107.0,611.806341908941,1514,0.0019810199737548,4,808448,47.05316142407437,865.2248262734952,374307.0,1.0,16,0,0,0,0,0.0019810199737548,0.8808920383453369
1701727700.299649,0.8830759525299072,445348,93.93.128.193,172.16.67.128,80,48884,6,TCP,127,525.4361175510389,525.4361175510389,0.0,0,0,0,1,1,0,0,0,0,0,0,169,464,1701727700.299649,1701727699.416573,789601652734.1548,1701727699.8580923,0.2561896420009684,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,5930,54,1514,1186.0,569.569662113424,1502,0.0021839141845703,5,808448,48.70318264754368,805.4931408770655,324409.6,1.0,25,0,0,0,0,0.0021839141845703,0.8830759525299072
1701524591.732741,0.0500781536102294,6468,172.16.65.128,172.16.63.128,8888,54416,6,TCP,64,459.2821089015106,459.2821089015106,0.0,0,0,0,1,1,0,0,0,0,4,0,11,21,1701524591.732741,1701524591.682663,39135065609.1356,1701524591.7015476,0.0148657230192989,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,4150,66,734,276.6666666666667,252.18317857374143,218,0.0019810199737548,15,808448,23.523038352503136,356.64087134134127,63596.355555555565,1.0,225,0,0,0,0,0.0019810199737548,0.0500781536102294
1701524591.735603,0.0529401302337646,6630,172.16.65.128,172.16.63.128,8888,54416,6,TCP,64,453.34229239755547,453.34229239755547,0.0,0,0,0,1,1,0,0,0,0,4,0,12,22,1701524591.735603,1701524591.682663,40836590200.8712,1701524591.7029667,0.0160652682875441,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,4312,66,734,269.5,245.7478382407463,162,0.0028619766235351,16,808448,23.2163735324878,347.5399257639329,60392.0,1.0,256,0,0,0,0,0.0028619766235351,0.0529401302337646
1701727700.29069,0.8741168975830078,439418,93.93.128.193,172.16.67.128,80,48884,6,TCP,127,525.1013923528603,525.1013923528603,0.0,0,0,0,0,1,0,0,0,0,0,0,166,459,1701727700.29069,1701727699.416573,781093014232.6761,1701727699.853325,0.253454812052442,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,21520,54,1514,1076.0,669.0560514635526,1514,1701727700.29069,0,808448,45.89002873002048,959.75758712228,460567.31301939074,1.0,361,0,0,0,0,0.0024788379669189,0.8741168975830078
1701727700.295484,0.878911018371582,442332,93.93.128.193,172.16.67.128,80,48884,6,TCP,127,525.6504814969537,525.6504814969537,0.0,0,0,0,1,1,0,0,0,0,0,0,168,462,1701727700.295484,1701727699.416573,786198197333.5576,1701727699.8561854,0.2550955820836608,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,2914,54,1514,971.3333333333334,652.2685200300733,1346,0.0023050308227539,3,808448,44.075692469508255,922.4469873355564,425454.2222222222,1.0,9,0,0,0,0,0.0023050308227539,0.878911018371582
1701524591.730386,0.0477230548858642,6088,172.16.65.128,172.16.63.128,8888,54416,6,TCP,64,440.0388879174681,440.0388879174681,0.0,0,0,0,1,1,0,0,0,0,4,0,9,19,1701524591.730386,1701524591.682663,35732016425.6721,1701524591.698671,0.0121156669566756,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,3770,66,734,290.0,268.19109145991695,218,0.0101459026336669,13,808448,24.08318915758459,379.2794788502577,71926.46153846153,1.0,169,0,0,0,0,0.0101459026336669,0.0477230548858642
1701524591.73076,0.0480971336364746,6250,172.16.65.128,172.16.63.128,8888,54416,6,TCP,64,457.40771510999633,457.40771510999633,0.0,0,0,0,1,1,0,0,0,0,4,0,10,20,1701524591.73076,1701524591.682663,37433541017.402855,1701524591.7001295,0.0135939276505692,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,3932,66,734,280.85714285714283,260.5293669059367,162,0.0003740787506103,14,808448,23.700512351303413,368.4441640748518,67875.55102040817,1.0,196,0,0,0,0,0.0003740787506103,0.0480971336364746
